Release_Date,Title,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Languages
03-07-2024,Pursuit,1500.523,16,5.9,en,Action,English
03-07-2024,Pursuit,1500.523,16,5.9,en,Crime,English
03-07-2024,Pursuit,1500.523,16,5.9,en,Thriller,English
26-07-2023,My Hero Academia: World Heroes' Mission,1485.064,100,7.3,ja,Animation,Japanese
26-07-2023,My Hero Academia: World Heroes' Mission,1485.064,100,7.3,ja,Action,Japanese
26-07-2023,My Hero Academia: World Heroes' Mission,1485.064,100,7.3,ja,Fantasy,Japanese
26-07-2023,My Hero Academia: World Heroes' Mission,1485.064,100,7.3,ja,Adventure,Japanese
23-06-2023,Restless,1468.377,107,5.9,fr,Action,French
23-06-2023,Restless,1468.377,107,5.9,fr,Thriller,French
23-06-2023,Restless,1468.377,107,5.9,fr,Crime,French
07-06-2023,Nightmare Alley,1455.144,952,7.1,en,Crime,English
07-06-2023,Nightmare Alley,1455.144,952,7.1,en,Drama,English
07-06-2023,Nightmare Alley,1455.144,952,7.1,en,Thriller,English
24-05-2023,The Ice Age Adventures of Buck Wild,1431.307,737,7.1,en,Animation,English
24-05-2023,The Ice Age Adventures of Buck Wild,1431.307,737,7.1,en,Comedy,English
24-05-2023,The Ice Age Adventures of Buck Wild,1431.307,737,7.1,en,Adventure,English
24-05-2023,The Ice Age Adventures of Buck Wild,1431.307,737,7.1,en,Family,English
03-05-2023,Hotel Transylvania: Transformania,1373.778,288,7,en,Animation,English
03-05-2023,Hotel Transylvania: Transformania,1373.778,288,7,en,Family,English
03-05-2023,Hotel Transylvania: Transformania,1373.778,288,7,en,Fantasy,English
03-05-2023,Hotel Transylvania: Transformania,1373.778,288,7,en,Comedy,English
03-05-2023,Hotel Transylvania: Transformania,1373.778,288,7,en,Adventure,English
06-04-2023,Texas Chainsaw Massacre,1312.79,521,5.1,en,Horror,English
17-03-2023,The Requin,1252.317,65,4.6,en,Thriller,English
15-02-2023,Looop Lapeta,1240.946,31,6,hi,Action,Hindi
15-02-2023,Looop Lapeta,1240.946,31,6,hi,Comedy,Hindi
15-02-2023,Looop Lapeta,1240.946,31,6,hi,Crime,Hindi
16-12-2022,Red Notice,1178.544,3193,6.8,en,Action,English
16-12-2022,Red Notice,1178.544,3193,6.8,en,Comedy,English
16-12-2022,Red Notice,1178.544,3193,6.8,en,Crime,English
16-12-2022,Red Notice,1178.544,3193,6.8,en,Thriller,English
14-12-2022,Sing 2,1112.9,2172,8.2,en,Animation,English
14-12-2022,Sing 2,1112.9,2172,8.2,en,Comedy,English
14-12-2022,Sing 2,1112.9,2172,8.2,en,Family,English
14-12-2022,Sing 2,1112.9,2172,8.2,en,Music,English
23-11-2022,The Jack in the Box: Awakening,1096.79,43,5.4,en,Horror,English
09-11-2022,Venom: Let There Be Carnage,1053.615,6539,7.1,en,Science Fiction,English
09-11-2022,Venom: Let There Be Carnage,1053.615,6539,7.1,en,Action,English
09-11-2022,Venom: Let There Be Carnage,1053.615,6539,7.1,en,Adventure,English
19-10-2022,The Matrix Resurrections,941.024,3160,6.8,en,Science Fiction,English
19-10-2022,The Matrix Resurrections,941.024,3160,6.8,en,Action,English
19-10-2022,The Matrix Resurrections,941.024,3160,6.8,en,Adventure,English
13-10-2022,Resident Evil: Welcome to Raccoon City,881.086,1312,6.1,en,Horror,English
13-10-2022,Resident Evil: Welcome to Raccoon City,881.086,1312,6.1,en,Action,English
13-10-2022,Resident Evil: Welcome to Raccoon City,881.086,1312,6.1,en,Science Fiction,English
12-10-2022,Last Man Down,869.605,318,6.3,en,Action,English
12-10-2022,Last Man Down,869.605,318,6.3,en,Thriller,English
07-10-2022,American Siege,867.326,49,5.4,en,Action,English
07-10-2022,American Siege,867.326,49,5.4,en,Thriller,English
07-10-2022,American Siege,867.326,49,5.4,en,Crime,English
07-10-2022,American Siege,867.326,49,5.4,en,Drama,English
26-08-2022,Uncharted,866.391,691,7.1,en,Action,English
26-08-2022,Uncharted,866.391,691,7.1,en,Adventure,English
25-08-2022,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,8.4,ja,Animation,Japanese
25-08-2022,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,8.4,ja,Action,Japanese
25-08-2022,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,8.4,ja,Adventure,Japanese
25-08-2022,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,8.4,ja,Fantasy,Japanese
24-08-2022,Ghostbusters: Afterlife,839.904,2225,7.7,en,Fantasy,English
24-08-2022,Ghostbusters: Afterlife,839.904,2225,7.7,en,Comedy,English
24-08-2022,Ghostbusters: Afterlife,839.904,2225,7.7,en,Adventure,English
27-07-2022,The 355,781.748,313,6.1,en,Action,English
27-07-2022,The 355,781.748,313,6.1,en,Thriller,English
20-07-2022,Shang-Chi and the Legend of the Ten Rings,769.185,5845,7.7,en,Action,English
20-07-2022,Shang-Chi and the Legend of the Ten Rings,769.185,5845,7.7,en,Adventure,English
20-07-2022,Shang-Chi and the Legend of the Ten Rings,769.185,5845,7.7,en,Fantasy,English
14-07-2022,Marry Me,761.793,230,6.9,en,Romance,English
14-07-2022,Marry Me,761.793,230,6.9,en,Comedy,English
14-07-2022,Marry Me,761.793,230,6.9,en,Music,English
07-07-2022,The Hunting,761.127,10,5.8,en,Horror,English
22-06-2022,West Side Story,678.186,562,7.4,en,Drama,English
22-06-2022,West Side Story,678.186,562,7.4,en,Romance,English
22-06-2022,West Side Story,678.186,562,7.4,en,Crime,English
16-06-2022,Through My Window,659.105,1331,7.8,es,Romance,Spanish
16-06-2022,Through My Window,659.105,1331,7.8,es,Drama,Spanish
16-06-2022,The Seven Deadly Sins: Cursed by Light,647.54,312,8,ja,Animation,Japanese
16-06-2022,The Seven Deadly Sins: Cursed by Light,647.54,312,8,ja,Fantasy,Japanese
08-06-2022,One Shot,622.24,382,6.8,en,Action,English
25-05-2022,Tom and Jerry: Cowboy Up!,614.11,163,7.1,en,Animation,English
25-05-2022,Tom and Jerry: Cowboy Up!,614.11,163,7.1,en,Comedy,English
25-05-2022,Tom and Jerry: Cowboy Up!,614.11,163,7.1,en,Family,English
25-05-2022,Tom and Jerry: Cowboy Up!,614.11,163,7.1,en,Western,English
04-05-2022,Chernobyl: Abyss,601.958,314,6.2,ru,Drama,Other
04-05-2022,Chernobyl: Abyss,601.958,314,6.2,ru,History,Other
04-05-2022,Chernobyl: Abyss,601.958,314,6.2,ru,Adventure,Other
03-05-2022,Desperate Riders,590.474,10,6.8,en,Western,English
03-05-2022,Desperate Riders,590.474,10,6.8,en,Action,English
22-04-2022,Clifford the Big Red Dog,585.011,1100,7.3,en,Family,English
22-04-2022,Clifford the Big Red Dog,585.011,1100,7.3,en,Adventure,English
22-04-2022,Clifford the Big Red Dog,585.011,1100,7.3,en,Comedy,English
22-04-2022,Clifford the Big Red Dog,585.011,1100,7.3,en,Fantasy,English
13-04-2022,Tyler Perry's A Madea Homecoming,577.591,42,6.7,en,Comedy,English
07-04-2022,The Boss Baby: Family Business,567.421,1785,7.6,en,Animation,English
07-04-2022,The Boss Baby: Family Business,567.421,1785,7.6,en,Comedy,English
07-04-2022,The Boss Baby: Family Business,567.421,1785,7.6,en,Adventure,English
07-04-2022,The Boss Baby: Family Business,567.421,1785,7.6,en,Family,English
